#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-8416.439897,200,9147.770334
-8703.73801,200,9158.990052
-9122.108845,200,9170.140516
-11970.317263,200,9181.276236
-56526.634652,200,9192.428887
-32015.082645,200,9203.460408
-67287.325156,200,9214.499055
-70202.112953,200,9225.613959
-39454.699036,200,9236.70111
-24826.085825,200,9247.743986
-24741.088239,200,9258.822939
-44705.232968,200,9270.002154
-30142.943734,200,9281.131829
-53815.637483,200,9292.173884
-84580.243043,200,9303.224721
-39496.003757,200,9314.272871
-35962.239921,200,9325.317247
-31730.277807,200,9336.371153
-78866.154363,200,9347.437767
-47905.834294,200,9358.46471
-51192.136316,200,9369.488838
-71833.787897,200,9380.566947
-47327.704322,200,9391.607122
-33467.315008,200,9402.66417
-84063.953819,200,9413.753125
-39737.618991,200,9424.791989
-84792.496872,200,9435.875213
-37809.934134,200,9446.965816
-42600.413004,200,9458.148105
-55377.538618,200,9469.267846
-30215.637939,200,9480.328503
-40611.524486,200,9491.397608
-41148.844076,200,9502.439564
-35024.858429,200,9513.482891
-34121.132554,200,9524.544233
-90678.952425,200,9535.607458
-44395.161098,200,9546.707882
-59984.51466,200,9557.749779
-90075.403618,200,9568.843602
-46333.963397,200,9579.926229
-26368.108936,200,9591.046528
-46815.472195,200,9602.084299
-73561.110613,200,9613.12673
-37766.580425,200,9624.252509
-116277.028564,200,9635.343375
-33677.283262,200,9646.396657
-40980.496845,200,9657.440936
-52983.349297,200,9668.49524
-80342.604289,200,9679.531722
-34330.741769,200,9690.665053
-61425.289848,200,9701.700718
-91057.169822,200,9712.742445
-42095.021406,200,9723.792906
-39839.882627,200,9734.916905
-54890.16012,200,9745.978448
-35080.94154,200,9757.024321
-71337.628009,200,9768.065633
-32067.504993,200,9779.210785
-44106.515568,200,9790.253224
-54840.679885,200,9801.399189
-35543.377811,200,9812.443971
-100050.477773,200,9823.491401
-36650.901201,200,9834.531694
-36264.959712,200,9845.57118
-80497.832162,200,9856.743076
-84744.189759,200,9867.797073
-70521.76666,200,9878.854243
-44384.617215,200,9889.93138
-37313.284559,200,9901.003715
-40940.944333,200,9912.184741
-40882.392643,200,9923.243208
-46901.757298,200,9934.292163
-52655.824669,200,9945.504248
